35.8	redridge	OBJ	guid218146360	entry2061	lvl0	(-9194,-2154)	d87	hp0	mv0	tgt3305547448	?	>	dd0
35.8	redridge	OBJ	guid872457783	entry22836	lvl0	(-9194,-2154)	d87	hp0	mv0	tgt3305547448	?	>	dd0
35.8	redridge	OBJ	guid268477980	entry22544	lvl0	(-9174,-2118)	d111	hp0	mv0	tgt3305398723	?	>	dd0
35.8	redridge	OBJ	guid251700763	entry22543	lvl0	(-9172,-2120)	d112	hp0	mv0	tgt3305405727	?	>	dd0
35.8	redridge	OBJ	guid218146330	entry22541	lvl0	(-9168,-2112)	d118	hp0	mv0	tgt3305371894	?	>	dd0
35.8	redridge	OBJ	guid201369113	entry22540	lvl0	(-9176,-2116)	d109	hp0	mv0	tgt3305392087	?	>	dd0
35.8	redridge	OBJ	guid218146326	entry2061	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305407980	?	>	dd0
35.8	redridge	OBJ	guid3640698389	entry3801	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305407980	?	>	dd0
35.8	redridge	OBJ	guid218146328	entry2061	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305405481	?	>	dd0
35.8	redridge	OBJ	guid3657475607	entry3802	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305405481	?	>	dd0
35.8	redridge	OBJ	guid3103827488	entry2489	lvl0	(-9201,-2068)	d113	hp0	mv0	tgt3305195438	?	>	dd0
35.8	redridge	OBJ	guid2231412260	entry22661	lvl0	(-9199,-2068)	d115	hp0	mv0	tgt3305194701	?	>	dd0
35.8	redridge	OBJ	guid2197857832	entry22659	lvl0	(-9199,-2067)	d117	hp0	mv0	tgt3305187615	?	>	dd0
35.8	redridge	OBJ	guid2214635043	entry22660	lvl0	(-9199,-2065)	d117	hp0	mv0	tgt3305180733	?	>	dd0
35.8	redridge	OBJ	guid2248189483	entry22662	lvl0	(-9201,-2065)	d116	hp0	mv0	tgt3305179914	?	>	dd0
35.8	redridge	OBJ	guid2315298346	entry22666	lvl0	(-9206,-2063)	d114	hp0	mv0	tgt3305173811	?	>	dd0
35.8	redridge	OBJ	guid2348852777	entry22668	lvl0	(-9202,-2063)	d117	hp0	mv0	tgt3305171395	?	>	dd0
35.8	redridge	OBJ	guid3925911079	entry3818	lvl0	(-9207,-2060)	d116	hp0	mv0	tgt3305159803	?	>	dd0
35.8	redridge	OBJ	guid3875579430	entry3815	lvl0	(-9207,-2060)	d116	hp0	mv0	tgt3305159803	?	>	dd0
35.8	redridge	OBJ	guid2952832549	entry149424	lvl0	(-9213,-2062)	d111	hp0	mv0	tgt3305167954	?	>	dd0
35.8	redridge	OBJ	guid2332075554	entry22667	lvl0	(-9203,-2062)	d117	hp0	mv0	tgt3305168200	?	>	dd0
35.8	redridge	OBJ	guid2298521121	entry22665	lvl0	(-9205,-2063)	d115	hp0	mv0	tgt3305172132	?	>	dd0
35.8	redridge	OBJ	guid3942688287	entry3819	lvl0	(-9206,-2060)	d116	hp0	mv0	tgt3305162056	?	>	dd0
35.8	redridge	OBJ	guid3909133854	entry3817	lvl0	(-9206,-2059)	d117	hp0	mv0	tgt3305157263	?	>	dd0
35.8	redridge	OBJ	guid3892356637	entry3816	lvl0	(-9206,-2060)	d116	hp0	mv0	tgt3305162056	?	>	dd0
35.8	redridge	OBJ	guid2030061740	entry3705	lvl0	(-9234,-2040)	d119	hp0	mv0	tgt3305049539	?	>	dd0
35.8	redridge	OBJ	guid218137288	entry2061	lvl0	(-9289,-2251)	d102	hp0	mv0	tgt3305944269	?	>	dd0
35.8	redridge	OBJ	guid234914503	entry2062	lvl0	(-9289,-2251)	d102	hp0	mv0	tgt3305944269	?	>	dd0
